GWAP,LWAP
3174.2831296748905,3241.659882
3662.972086874314,3743.612876
4853.983571601612,4983.53808
6188.494459348288,6387.231104
18366.618237655675,18827.52818
15451.446896504887,15842.36152
12140.857470289064,12561.67896
18222.429974420986,18748.61268
17147.311986457968,17594.00119
50156.88318808715,52529.61355
19711.05708,20399.02853
9327.406747203177,9657.85855
11233.903968490253,11593.07257
9889.030926,10156.40699
7110.434991465868,7233.805155
6717.278703501715,6888.50382
8810.692810024188,9087.818771
6302.584169046353,6469.366586
6527.750240620766,6686.757917
9718.200454287558,9989.400032
22415.889388559222,23128.24771
14490.19371409842,14859.41862
19070.853868035218,19548.28376
23983.57778976112,24736.17895
22526.099371240845,23249.28069
8126.413913543541,8391.824718
35557.75313208953,37535.86029
34460.690621961454,35958.58355
10263.26675966898,10498.89063
6517.994645593079,6746.265056
4112.375634630042,4251.657514
3407.2066276532146,3507.868862
5056.636355094538,5234.630349
4033.3634074251895,4180.217551
3412.7244411095553,3552.314159
3743.049805324563,3868.779873
3320.2555149291943,3450.616505
5612.092831710649,5887.706058
5697.331138932254,6002.4069
9887.67439088686,10417.73597
5625.0475244008085,5903.712102
7655.265468716522,7967.169369
4234.573824948987,4358.656501
4050.672307601152,4192.665412
5723.762498642867,5994.592941
4036.6687645887455,4247.857073
4479.946518810641,4694.916453
6933.790592263708,7314.451859
11123.628739345582,11908.69333
6505.263814365015,6802.181019
6695.286338494017,7045.629815
5305.388359128271,5635.980745
5295.891936643139,5567.880052
5876.709705818069,6176.307662
7598.649501125834,8026.927005
5587.134907101185,5865.136073
8135.756399956017,8562.441686
6032.699562647868,6285.173729
4208.6697451310565,4419.988134
4461.020091391342,4662.367982
5926.515614585871,6268.576994
5975.512183200935,6361.468234
7197.9290526476625,7656.42517
4476.698981715006,4638.9524
3866.155248789468,4007.070861
4535.554937915421,4751.376579
4328.535984216545,4531.186928
3935.424367861411,4104.72045
5569.367296622877,5821.084578
7772.523793,8120.945228
5946.721427749107,6188.181922
5158.949089,5369.027013
11693.91866377008,12343.82593
8741.082871782277,9200.879679
20226.291885377992,21411.47153
13276.294871915889,14095.67964
13142.647408912811,13925.60367
5382.693296903249,5653.871663
5284.105185904481,5530.372593
7465.172190942597,7933.372612
10421.08994659393,11094.45447
8701.311766,9240.052321
7505.621019456422,7966.783131
10973.331567501318,11701.5944
20483.416075862653,21317.25845
8285.860504734754,8976.436428
6068.164454939648,6437.583489
6326.957733754566,6706.578722
6072.211580563352,6463.68954
6678.583633617359,7103.856193
5207.173143221733,5499.778832
2977.616137727912,3106.267079
3781.632447291055,3922.447076
3623.1400316438057,3820.811943
3656.976583894617,3816.951233
4184.895732907152,4378.257409
3948.328521873621,4131.337825
4237.587750706807,4420.934695
3927.1273380031366,4057.481628
4467.513094591898,4629.634383
4383.067036915203,4568.688584
4693.375327009459,4903.647525
5547.621330902894,5749.174591
6570.305059378785,6660.676421
4740.018427931686,4871.779182
5618.099007716897,5805.815549
5738.470547294522,5911.197662
11132.890346195263,11588.16267
8698.081746663003,9117.646453
16503.151373309345,17428.64543
20019.928993192894,21125.90302
11910.034139618752,12547.11499
6506.448615615593,6769.239047
6241.635635,6468.950258
6591.414425973197,6919.162017
7332.339947160383,7742.436172
7687.428901951758,8170.97649
9737.218714,10305.57864
12950.13942453756,13967.66959
5562.928070792937,7178.835059
4401.842035077161,5051.012827
4070.87741163021,4786.985844
4444.500751510029,5618.972698
5025.160758397407,5986.403454
5987.706591454592,7036.222445
5041.334185893616,6074.845175
4851.637628278252,5702.850972
5313.162446639957,5834.15432
3489.809127512028,3635.279446
7141.699998552562,7548.586278
6951.793563,7372.162351
6341.436022554093,7340.155613
6716.975520379808,8227.474432
5705.454821,6140.582912
5222.552763141603,5481.655759
5183.887928208717,5772.575188
5056.727466879772,6147.392737
4846.427594852297,5172.920771
4297.834900281478,4888.23384
4038.643468737257,4261.988736
4683.697397692575,4878.444524
4280.620312091048,4485.345881
5273.532632418818,5652.418938
5766.759332122578,7235.227809
6468.288646514947,9125.95935
5948.753852429564,7046.096344
6158.450508282589,7048.446746
5165.154670519094,5558.992426
8931.245574,12440.11229
7719.514729043596,8198.005367
7127.697841438454,7492.627025
5913.124131637027,6198.621765
7739.504340363165,8215.163404
15230.08532171425,16503.73949
17681.35297988885,18595.96616
15696.194263427387,16706.71003
9899.407559169838,11291.29148
6525.049786080892,7450.576034
7916.396450833988,8747.625762
11758.926531722314,12615.4887
22174.328047882136,23676.63328
24729.47235833409,25816.186
8678.591289997343,9102.489378
10695.055371561706,11586.10179
8784.482292909417,9447.411092
7503.629325706402,8051.854294
15235.115381922376,16474.45882
23092.370969512504,25890.54232
22599.719891739296,24231.5626
20719.002475229485,21719.63979
22717.680509260044,24624.02662
37819.26724389858,41958.53456
45511.28667,50518.41407
20274.71143591751,21893.46406
19003.73937,20340.49123
7689.604524951408,8042.177376
6102.552558188834,6355.715628
6102.748018401081,6430.534117
6117.1549,6462.091838
8829.910480281611,9355.272847
9844.384446904294,10441.08327
8886.837477598217,9413.496079
8987.352977930488,9436.769617
13976.951174996091,14741.9895
20343.93805511338,21637.45912
23256.151290239737,24791.293
16888.676428109015,17878.95807
9775.118633990502,10305.16039
18933.31356525471,20317.23462
8648.467199823688,9114.823788
8635.450320057407,9138.870664
19051.77401131682,20450.66649
19989.69542957835,21382.58339
10670.25230926972,11400.41713
21385.762057076903,23411.48764
23416.691238959847,25263.70154
12062.749353945352,12905.96775
8533.965245119947,8957.973683
10179.638551157772,10813.74072
7853.527192674001,8328.511393
9328.073216,10088.37483
8317.782122701072,8820.114567
8729.237202917837,9953.528818
9197.425705410811,11968.68553
10681.96918039803,13716.19975
15627.56063383641,18879.62678
13349.809176475928,16418.167
9526.532831637527,10821.81496
10429.164127720773,16725.43849
6859.073423624146,8238.742613
7874.278531514528,9169.377747
5934.791416152288,6307.348806
5026.489356253939,5548.777841
5534.021755769434,6595.932301
5877.396513,8407.121492
5430.748126398236,7305.182508
4716.811577792864,6489.516451
5243.003596747219,5478.897472
4893.053259195295,5114.602174
4969.631835760096,5340.520988
6164.277204652516,6812.730384
6698.086613976738,7599.642606
6587.029213289023,9582.664776
6972.993563295056,9654.4268
6155.003382559341,7002.088463
5988.9498853083915,6424.320712
5743.627409723155,6499.027874
6638.019658887876,10107.17924
6014.1313913244985,6485.608152
5905.808158180585,7448.03664
7631.083490964794,8900.543186
6609.489121249539,6908.518922
8623.511197547798,8964.992904
8377.656941,8784.694955
7574.338353610093,7910.998492
9129.465198745072,9570.141558
19935.681268073335,20952.38561
19076.53503526847,20199.38883
9366.288252066544,9728.378067
10903.879943864513,11249.69012
8809.50096,9138.725965
26049.623236060357,27384.3227
17260.181673648054,18173.92363
20017.569012104985,21292.26609
21750.496869015748,23199.67514
8337.575636699277,8715.527806
8584.075652425054,8969.419717
12635.86228980632,13435.34957
22371.315114723457,23777.20739
25512.856271200584,27306.30807
23819.482555254563,26058.50301
16780.66336546913,19682.7155
9820.244537636678,10190.10228
24378.65435640085,25303.74418
35050.99544819812,36446.33083
16277.85830217417,19092.24166
12033.180395580146,14581.8349
25012.671937125513,32558.03011
19343.32798857166,26194.81881
8696.467735287244,9721.867762
11617.736710450694,12279.72008
14686.430224481746,15405.90782
15477.683073012544,16202.96752
25458.03086676157,26903.94003
26035.963982455716,27451.70425
18291.55417495195,19294.04157
15930.849606659223,17606.9979
7604.978767542211,8002.050064
6579.743061198953,7059.519171
13844.08502768848,14560.4568
23983.861379577324,25151.33974
28964.456502353052,30452.81419
26878.817894662152,27955.85447
23375.535440510645,24317.55012
26433.761640068424,27675.56838
18597.16980829564,19575.29373
21524.791948611863,22703.3414
29338.48863721107,31044.05228
14437.856731709377,17557.55008
19584.181855003815,21470.34226
17291.817371928624,18090.86211
13284.176470834493,13810.99927
23756.777162682338,25501.93859
36601.54588,41604.45123
24789.077373431657,26275.54595
29418.658079057797,33949.98949
31554.216167889874,34878.71385
19920.76369767246,20919.93453
9792.914019938757,10201.39031
24208.553122616373,25729.21621
27415.85853590865,29202.83779
13215.486763005669,13993.46209
11392.440955616616,11977.53461
15835.15120287138,16825.71478
9458.207659666296,9898.050837
9003.384296,9353.644155
15317.35472670014,16129.91226
9273.444022137704,9656.940979
8239.085323906133,8617.601136
9269.949503351889,9647.310121
8389.227311,8720.746027
2798.910208631278,2888.039563
7391.237737348286,7642.187719
7808.841725617539,8151.965589
3731.2520712570713,3847.618933
6884.330959136969,7252.258861
8319.883494916478,8663.100995
8085.847279795054,8401.535206
8946.583029468964,9310.020714
6591.139038686424,6823.248452
8935.486233659754,9349.480622
9745.978333,10171.20448
11870.076040382535,12455.64782
12335.703330390104,12971.08302
9917.240930994136,10431.32923
9180.557668401822,9550.671714
9047.450737004858,9369.285617
15232.896851910553,16043.7487
12396.20246817884,12929.33691
11402.96570487585,11973.64996
10367.695596076828,10892.46503
10629.498076244385,11096.66327
8451.948564694458,8735.064183
7318.941207,7685.019459
9520.308750421516,9907.220557
11099.182787063191,11561.23791
22510.11120713015,23650.83409
26045.44523590901,27234.83032
22325.558360824045,23377.47777
24838.71039259689,25861.3196
30623.366272099243,31584.52883
29701.290091834413,30987.4828
35461.13009794169,37572.18384
21163.23226215729,21880.17294
26907.399893227233,28060.04254
29106.680088446075,30333.55807
26244.959516707386,27360.81323
21267.67588687634,22156.9439
30566.97040856276,31771.78738
58296.359057264766,61389.82266
40835.94202989431,42762.30575
28930.84732933013,30119.85724
30761.939795620467,32045.26046
14466.598382791137,14885.48048
21836.02028088372,22721.52024
17476.060263166877,18463.36623
25793.261782490525,27208.04949
29262.835474572646,30733.64617
26805.822319416933,28184.49905
30025.62165387001,31640.5778
22710.48027,24103.5604
13015.267477785794,13700.50471
8534.422175,9027.907763
8602.136226580644,9084.788643
7636.157912856672,8005.285308
6047.707272558484,6308.94128
5009.113178027447,5193.4455
2066.4213871493876,2124.146623
1764.3531345301255,1815.2183
2950.5980468635307,3096.47553
4137.356398719263,4322.76109
4972.546058622219,5167.006228
5930.677318576717,6211.897445
4751.2556947153835,4931.929901
3060.5772972005034,3173.281853
2947.6599457473894,3065.399758
4399.825454981767,4581.38546
5282.074261515996,5527.601712
4886.357271511813,5121.754134
4446.233240909522,4639.549005
4827.077546378991,5045.015942
3955.9774701291703,4117.507797
3310.499391672928,3419.174909
5783.119562537901,6033.601281
5243.289438873285,5486.964074
4501.281295914111,4700.173649
5506.442357848105,5734.066654
6999.528744134168,7329.388858
7086.945609660648,7352.27967
6044.770803608334,6301.02737
7139.365105565528,7533.543831
7511.094654149913,7913.687888
7158.312855516825,7553.786308
7561.618181158301,7908.815359
6953.449474507148,7317.988761
6585.344675,7680.310695
6664.039203048489,7186.865199
7960.441278427359,8371.001215
7518.389326139098,7930.592996
7470.678438902464,7911.332345
6816.370755748863,7214.334975
6032.894612594245,6380.186145
5368.677413943225,6338.677278
4684.069125307386,5258.413529
5237.771318555729,5525.931548
5845.8960245549715,6190.530545
6844.8637873881935,7226.474999
9093.665188936277,9535.815947
8255.532972791387,8795.780007
7546.292156626055,7937.285223
6672.523801731997,6958.549095
9637.667452,10371.30046
11630.290373363548,13775.62718
20208.787958189052,25521.21137
9563.300575871834,10432.40946
10134.018580792348,10789.3099
15002.130065961512,17964.92378
6285.067904519983,6971.793279
6887.461671428923,7718.070565
7384.372751131574,8310.523826
6742.287351782643,7753.859475
5942.174236458859,6802.636585
6317.951099741235,7355.52489
6292.845157910651,6983.815714
5466.025844635362,5788.142439
6441.329642280725,6770.672138
6376.135890045608,6695.508488
5800.325659,6060.068425
6777.565212045991,7075.286345
7737.93874,8110.178777
5445.890008197008,5917.662011
9704.25585,15228.41417
4529.141700158901,4746.489073
5043.498250071492,5289.062216
6439.934417735769,6942.705228
4936.674138623243,5152.783257
5118.851230703247,5498.845603
6185.700094337581,6417.163844
5542.614571693498,6668.829393
5265.386167907574,5467.855634
5794.212925594052,6020.625218
7017.381490605043,7297.902068
4664.974503064157,5187.370435
4160.661346193229,4809.272137
3826.794412481848,4779.786721
6154.828248574294,8445.256203
3933.124408940761,4181.735493
5113.444855199514,5599.161126
5548.684483883119,5899.540485
5510.314564476221,5914.669604
6026.453286327391,6879.392973
6653.234731011276,7911.10428
5547.252394260506,6351.338869
6802.247182396812,7267.33514
15201.407137953676,16129.31164
18161.60532126933,21955.46991
22042.57121198422,26588.81647
26207.895357850433,30906.67296
23903.554615116976,26174.23614
22719.935891735982,24009.1114
18689.36456285561,20977.18314
17872.21381440705,19363.76109
23001.311785646645,24122.45168
22458.42039197996,23534.67304
22991.74848335033,24004.72356
8481.483097973483,10227.34914
7171.217398698261,9586.787385
6869.849393323463,8173.00063
5684.0179534934805,6418.182065
4568.422463230162,5533.165634
3433.2018468372817,3664.16883
2864.6101893921036,3025.398915
4785.4266172068565,5193.308723
6810.372075123628,8534.109444
5076.483959308289,5775.585302
7360.038879409531,8637.052143
5691.239151008939,6704.429946
5949.720081035374,6354.247325
6718.4805353134625,8223.252283
5964.102252895953,7615.781837
7037.945388,8516.923302
7745.195781801574,9063.77851
8324.066854167477,9550.103578
16553.925447132577,17735.77152
19202.661490603063,20600.74544
12677.344323564184,13328.19053
8123.638028486071,8542.605095
7654.574949575721,8056.247749
7403.757147408351,9471.665605
6510.655750899241,7754.577017
7066.971206202413,7721.418192
8979.532865564335,10084.74608
15205.42120354555,17960.68225
8036.514160055775,9471.158488
13304.89061301618,18226.8261
5127.009725322072,5725.933817
9679.985196922931,10985.83434
7086.943891696054,8285.816408
6400.709673178789,7365.546872
10237.85368761429,13173.8785
17121.753002022975,20558.1465
18970.904834273948,24233.46344
24633.24501523048,31603.9792
18260.24173609014,20684.83957
16419.789408444998,17601.74813
7569.557020984027,8368.60747
6180.848853448301,6620.636352
5778.580943329508,6245.878181
7176.778339523617,8988.620639
20273.945387132695,21551.06336
13094.26693867732,16336.97217
7430.216032,8995.533499
9661.257717,11021.36611
16488.51818551327,17484.87625
9061.190295061017,9461.494327
7989.855403513222,8362.804653
11015.29826864441,11759.93514
23086.36478694096,26860.62346
20474.007488262712,22423.9267
20709.496576298443,22040.4521
10668.792338714382,11351.26554
16738.872622899657,17803.1537
8007.673555263721,8332.041869
15928.11636384484,16879.77885
17724.001274366645,18764.27144
12388.300770283562,13886.19152
4910.2038759866555,5143.364828
5006.488990757946,5237.834836
5186.2007697181525,5419.991712
5081.861029531383,5308.503774
8429.632656818478,8860.734008
5675.951191065443,5952.134955
12620.25589865398,13373.09922
7019.017134589129,7331.610864
6170.796238,6474.346832
4270.424419,4440.967456
3908.526360562258,4065.126866
3498.119603750245,3641.670445
4638.834099168846,5241.962566
9448.296523482317,10010.86244
5642.353068955734,5916.20582
8440.926795759578,8858.83918
5223.527165070938,5490.914222
4891.747425003845,5575.952298
5123.011549751365,5824.849075
6221.5149898726495,7464.574166
5801.076451812983,6233.781339
5798.1909893082375,6297.721063
4885.014852587339,5157.467076
3953.570208947904,4127.438926
3839.422519,4025.215178
4172.0271804611675,4393.497045
4154.051042310758,4390.602702
3849.161202552615,4039.407983
4045.046764473296,4231.163864
4104.423711795103,4524.502367
4270.472720378526,4678.260442
4018.9023777081857,4278.927173
4656.633404196538,4910.975669
6044.979424916873,6398.089378
6581.484940653452,7013.637416
9778.780375312168,10739.44326
8352.967686210173,8906.00979
8414.324796626383,8908.979366
7037.549022052715,7424.976513
9810.079382304048,10414.48721
19308.16897,20672.65661
11322.952084084513,12131.7692
3553.385229393155,3717.215996
3996.329703472627,4193.955684
3562.5612507693368,3718.345789
3387.6649673420084,3515.691081
3952.044129937777,4140.178176
5517.312089850874,5820.474853
4436.686784854779,4683.618942
5794.354530443855,6127.134136
5868.104302,6157.031302
3959.4123746394794,4181.723156
3434.9827301752944,3583.457158
3356.742315525686,3504.15594
3802.805174293117,3982.395407
3766.9812967047383,3940.283298
3032.341291,3150.786382
2817.3647787483087,2924.33815
2711.141149363928,2789.875395
3329.5908416371917,3425.471925
3793.15548,3948.424225
3455.267748601621,3578.752858
3767.4735244735216,3930.384769
3607.7423485843688,3767.906795
4922.101792987876,5182.744801
4646.448688217783,4872.936761
4698.500777683335,4937.429881
4885.245491494295,5098.110655
